,Estimate,SE,Chi2,df,p,LowerCI,UpperCI,min,max
(Intercept),0.62,0.68,  NA,  NA,   NA,-3.96,9.68,0.49,0.82
conditiontrue_belief,0.65,0.68,0.86,1,0.353,-3.14,10.6,0.44,0.95
breed_typeindependent,-1.75,0.73,6.08,1,0.014,-15.21,-0.2,-2.01,-1.64
z.age,0.18,0.56,0.1,1,0.751,-4.2,7.75,0,0.39
sexM,1.06,0.8,1.6,1,0.205,-2.28,14.36,0.84,1.36
first_baited_bucketgrey,1.52,0.69,6.48,1,0.011,0.21,15.09,1.33,1.63
