dog_ID,CDL_name,sex,castrated,test_date,birth_date,age_months,breed,FCI_group,experience_in_dog_sports,condition,set_up,first_baited_bucket,first_trial_second_fam,first_trial_third_fam,number_trials_fam_phase1,number_trials_fam_phase2,number_trials_fam_phase3,tot_nr_trials_fam,communicator,hider,no_choice_trials,first_choice_letter,first_touch_letter,man_check_approach_tunnel,man_check_eyes_above_barrier,notes
88,Happy7,F,no,16/10/25,16/2/2024,20,golden_retriever,8,NA,true_belief,right,grey,displacement,displacement,2,2,2,6,JH,JD,,A,A,1,0,no foams - dog wants to play+eat; restarted the final test bc tunnel was covered
89,Mio3,M,yes,4/11/2025,15/8/2022,38,bernese_mountain_dog,2,"Stöbern, Unterordnung, Rettungshundetraining",true_belief,right,grey,no_displacement,no_displacement,4,2,3,9,JH,JD,,A,A,1,0,"needed verbal ""go"" from the owner"
90,Winston5,M,no,14/11/2025,25/4/2022,42,jack_russell_terrier,3,"BH, Verkehrstest, BGH1",true_belief,right,grey,displacement,no_displacement,2,2,2,6,JH,JD,,A,A,1,0,own food; dog needed a verbal word before the choice
91,Bärli,M,yes,1/7/2025,30/3/2015,123,irish_glen_of_imaal_terrier,3,"Wiener Hundeführschein, BH, Verkehrstest, BGH1, fallweise Ausstellungen",true_belief,left,blue,displacement,displacement,4,3,2,9,JH,JAS,,A,A,1,0,
92,Ragnar,M,no,2/5/2025,1/2/2018,87,bedlington_terrier,3,"Verkehrstest, agility",true_belief,left,blue,no_displacement,no_displacement,2,2,2,6,JAS,SV,,A,A,1,0,
93,Lina6,F,yes,21/5/2025,28/9/2018,79,miniature_pinscher,2,NA,true_belief,left,blue,displacement,no_displacement,2,2,2,6,FL,JAS,,A,A,1,0,
94,Calea,F,yes,30/05/2025,21/01/2021,52,spitz,5,NA,true_belief,left,blue,no_displacement,displacement,2,2,2,6,JAS,FL,,B,B,1,0,
95,Ellie4,F,no,30/5/2025,30/9/2020,56,golden_retriever,8,NA,true_belief,left,blue,displacement,displacement,2,3,2,7,JAS,JH,,A,A,1,0,
96,Lucy14,F,yes,03/06/2025,09/10/2018,79,beagle,6,NA,true_belief,left,blue,no_displacement,displacement,2,2,2,6,FL,JAS,,A,A,1,0,Owner kept talking to the dog during the manipulation phase
97,Flynn4,M,no,06/06/2025,04/01/2023,29,golden_retriever,8,Stöbern,true_belief,left,blue,displacement,no_displacement,2,2,2,6,JH,FL,,A,A,0,0,
98,Woody2,M,no,25/6/2025,24/4/2019,74,irish_red_and_white_setter,7,NA,true_belief,left,blue,no_displacement,displacement,2,2,2,6,JH,JAS,,A,A,0,0,
99,Riva,F,no,16/7/2025,26/5/2022,37,australian_shepherd,1,NA,true_belief,left,blue,displacement,displacement,2,4,2,8,JH,JAS,,B,B,1,0,
100,Finn4,M,yes,18/7/2025,11/11/2017,92,australian_shepherd,1,NA,true_belief,left,blue,no_displacement,no_displacement,2,3,2,7,JH,JAS,,A,A,0,1,
101,Miri,F,no,21/7/2025,2/4/2019,75,weimaraner,7,Jagen,true_belief,left,blue,displacement,no_displacement,2,2,2,6,JAS,JH,,A,A,1,0,
102,Heidi6,F,yes,4/7/2025,21/10/2022,32,labrador_retriever,8,NA,true_belief,left,blue,no_displacement,displacement,2,2,2,6,JAS,JH,,B,B,0,0,
103,Billie,F,no,10/10/2025,30/10/22,35,golden_retriever,8,NA,true_belief,left,blue,displacement,displacement,2,3,3,8,JH,JD,,B,B,1,0,"Delay in test procedure because tunnel was still covered with blanket, Hider also opened cup B twice to retrieve the treat"
104,Lani,F,no,10/10/2025,4/9/2014,133,jack_russell_terrier,3,NA,true_belief,left,blue,no_displacement,no_displacement,2,2,2,2,JH,JD,,B,B,1,0,"Owner let go too early during manipulation check, dog immediatly looked through the tunnel. Coded from the moment the owner stood back up"
105,Nico8,M,no,30/10/2025,6/8/2022,38,border_terrier,3,NA,true_belief,left,blue,displacement,no_displacement,2,2,2,6,JD,JH,,B,B,0,0,own food - dog did not like sausage
106,Samba2,M,yes,25/05/2025,06/06/2017,95,australian_shepherd,1,NA,true_belief,left,grey,displacement,displacement,2,2,2,6,FL,JAS,,A,A,1,1,
107,Nebou,F,no,02/06/2025,25/12/2023,17,vizsla,7,NA,true_belief,left,grey,no_displacement,displacement,2,2,2,6,FL,JAS,,A,A,1,1,dog needed help in trial 1 and 2 to get the treat. during the expiernece phase the dog kicked the screen partially ot of the tunnel and it had to be put back in. during the recommending in the final test the communicator had to cough several times.
108,Pixi,F,no,26/5/2025,13/12/2020,53,fox_terrier,3,"Welpenkurs, Such-/Rettungshundeausbildung, Jagdkurse",true_belief,left,grey,displacement,no_displacement,2,2,2,6,FL,JAS,,A,A,1,0,
109,Alma,F,no,5/6/2025,15/3/2016,110,border_collie,1,NA,true_belief,left,grey,no_displacement,no_displacement,2,2,2,6,JH,JAS,,A,A,1,0,
110,Louie3,M,no,16/6/2025,24/10/2022,31,rhodesian_ridgeback,6,NA,true_belief,left,grey,displacement,displacement,2,2,2,6,JAS,FL,,A,A,1,0,In the final test the hider went back into the cup to remove the treat and later in the recommending the lid fell off the cup.
111,Riu,F,no,16/06/2025,28/03/2018,86,australian_shepherd,1,NA,true_belief,left,grey,no_displacement,displacement,2,2,2,6,FL,JAS,,A,A,1,0,
112,Baloo2,M,no,17/6/2025,5/11/2019,67,labrador_retriever,8,"BGH, agility",true_belief,left,grey,displacement,no_displacement,2,2,2,6,JAS,JH,,A,A,0,0,
113,Cookie11,F,yes,9/7/2025,24/4/2018,86,miniature_muensterlaender,7,NA,true_belief,left,grey,no_displacement,no_displacement,2,2,2,6,JAS,JH,,A,A,1,0,
114,Mia7,F,no,18/7/2025,30/4/2017,98,golden_retriever,8,NA,true_belief,left,grey,displacement,displacement,2,2,2,6,JAS,JH,,A,A,1,0,
115,Enzo3,M,no,18/7/2025,22/10/2023,20,labrador_retriever,8,NA,true_belief,left,grey,no_displacement,displacement,2,4,2,8,JAS,JH,,A,A,1,0,
116,Pisco,M,no,22/10/2025,16/7/2021,51,parson_russell_terrier,3,NA,true_belief,left,grey,displacement,no_displacement,2,2,2,6,JD,JH,,A,A,0,0,
117,Elton John,M,no,15/10/2025,24/3/2022,42,border_collie,1,"Dogdance, Agility (rarely)",true_belief,left,grey,no_displacement,no_displacement,2,2,2,6,JD,JH,,A,A,1,0,own food - dog is allergic
118,Mozart4,M,no,22/10/25,12/5/2024,17,beagle,6,NA,true_belief,left,grey,displacement,displacement,2,2,2,6,JD,JH,,A,A,1,0,
119,Asterix2,M,no,27/10/2025,19/4/2023,30,middle_schnauzer,2,"BH, Verkehrstest",true_belief,left,grey,no_displacement,displacement,2,2,2,6,JH,JD,,A,A,1,0,own food
120,Rufus,M,yes,30/10/2025,1/1/2019,81,vizsla,7,NA,true_belief,left,grey,displacement,no_displacement,2,2,2,6,JH,JD,,A,A,1,1,"owner can't controll the dog, was on the leash during experience phase bc no working recall and would jump throuh/over the fence"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,mean TB age,68.48333333,,,,,,,,,,,,,,,,,,,,
,,,,,mean FB age,72.2,,,,,,,,,,,,,,,,,,"1=yes, 0=no; 1=dog approached and looked through tunnel. 0= never moved or anyhow did not look through tunnel","1=yes, 0=no; eyes above barrier during man check",
