,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
34,Tunnel_FB_2025_05_30_JAS_JH_Ellie4_13-23-01,880.6333333333333,52838,910.6333333333333,54638.0,Ellie4,man_check_duration,man_check_duration,,,,
35,Tunnel_FB_2025_05_30_JAS_JH_Ellie4_13-23-01,881.3,52878,892.2333333333333,53534.0,Ellie4,latency,latency,,,,
36,Tunnel_FB_2025_06_02_FL_JAS_Moon2_11-39-12,966.5166666666667,57991,996.5166666666667,59791.0,Moon2,man_check_duration,man_check_duration,,,,
37,Tunnel_FB_2025_06_02_FL_JAS_Moon2_11-39-12,967.5166666666667,58051,969.8833333333333,58193.0,Moon2,latency,latency,,,,
38,Tunnel_FB_2025_05_21_FL_JAS_Lina6_16-27-56,663.0330545990939,39782,693.0330419873189,41582.0,Lina6,man_check_duration,man_check_duration,,,,
39,Tunnel_FB_2025_05_21_FL_JAS_Lina6_16-27-56,663.4997210695774,39810,670.8497179796925,40251.0,Lina6,latency,latency,,,,
40,Tunnel_FB_2025_05_21_JAS_FL_Louie4_16-51-05,727.4666666666667,43648,757.4666666666667,45448.0,Louie4,man_check_duration,man_check_duration,,,,
41,Tunnel_FB_2025_05_21_JAS_FL_Louie4_16-51-05,727.7166666666667,43663,732.55,43953.0,Louie4,latency,latency,,,,
42,Tunnel_FB_2025_05_25_FL_JAS_Samba2_11-07-29,806.8827747749159,48413,836.8827540076602,50213.0,Samba2,man_check_duration,man_check_duration,,,,
43,Tunnel_FB_2025_05_25_FL_JAS_Samba2_11-07-29,807.8494407724154,48471,817.4661007820229,49048.0,Samba2,latency,latency,,,,
44,Tunnel_FB_2025_06_02_JAS_FL_Aaron2_13-06-44,934.7166666666667,56083,964.7166666666667,57883.0,Aaron2,man_check_duration,man_check_duration,,,,
45,Tunnel_FB_2025_06_02_JAS_FL_Aaron2_13-06-44,934.8,56088,964.7166666666667,57883.0,Aaron2,latency,latency,,,,
46,Tunnel_FB_2025_05_26_FL_JAS_Pixi_10-55-51,790.65,47439,820.65,49239.0,Pixi,man_check_duration,man_check_duration,,,,
47,Tunnel_FB_2025_05_26_FL_JAS_Pixi_10-55-51,791.3166666666667,47479,799.2333333333333,47954.0,Pixi,latency,latency,,,,
48,Tunnel_FB_2025_05_26_JAS_FL_Bruno2_12-01-56,832.2333333333333,49934,862.2333333333333,51734.0,Bruno2,man_check_duration,man_check_duration,,,,
49,Tunnel_FB_2025_05_26_JAS_FL_Bruno2_12-01-56,832.6666666666666,49960,862.2333333333333,51734.0,Bruno2,latency,latency,,,,
50,Tunnel_FB_2025_06_16_FL_JAS_Riu_17-36-22,748.0494444673238,44883,778.0494221880907,46683.0,Riu,man_check_duration,man_check_duration,,,,
51,Tunnel_FB_2025_06_16_FL_JAS_Riu_17-36-22,748.5161107874246,44911,761.2494346644613,45675.0,Riu,latency,latency,,,,
52,Tunnel_FB_2025_05_27_JAS_FL_Hago_12-32-08,924.9994397026439,55500,954.9994215308378,57300.0,Hago,man_check_duration,man_check_duration,,,,
53,Tunnel_FB_2025_05_27_JAS_FL_Hago_12-32-08,926.0161057534883,55561,943.5494284664105,56613.0,Hago,latency,latency,,,,
54,Tunnel_FB_2025_06_03_FL_JAS_Lucy14_11-01-44,843.7663788049678,50626,873.7663685700874,52426.0,Lucy14,man_check_duration,man_check_duration,,,,
55,Tunnel_FB_2025_06_03_FL_JAS_Lucy14_11-01-44,844.7497118028244,50685,849.7330434360305,50984.0,Lucy14,latency,latency,,,,
56,Tunnel_FB_2025_05_28_JAS_JH_Paige_12-46-29,883.2997156084763,52998,913.2997059495317,54798.0,Paige,man_check_duration,man_check_duration,,,,
57,Tunnel_FB_2025_05_28_JAS_JH_Paige_12-46-29,888.9997137732768,53340,913.2997059495317,54798.0,Paige,latency,latency,,,,
58,Tunnel_FB_2025_05_28_JAS_JH_Amber3_13-26-43,1235.4,74124,1265.4,75924.0,Amber3,man_check_duration,man_check_duration,,,,
59,Tunnel_FB_2025_05_28_JAS_JH_Amber3_13-26-43,1236.3,74178,1265.4,75924.0,Amber3,latency,latency,,,,
60,Tunnel_FB_2025_05_30_JH_JAS_Kukie_09-57-08,1094.699156492955,65682,1124.6991333768397,67482.0,Kukie,man_check_duration,man_check_duration,,,,
61,Tunnel_FB_2025_05_30_JH_JAS_Kukie_09-57-08,1096.1658220295005,65770,1122.082468726412,67325.0,Kukie,latency,latency,,,,
62,Tunnel_FB_2025_06_05_JAS_JH_Lieserl_10-44-31,842.0824992571313,50525,872.0824695423928,52325.0,Lieserl,man_check_duration,man_check_duration,,,,
63,Tunnel_FB_2025_06_05_JAS_JH_Lieserl_10-44-31,842.9824983656891,50579,872.0824695423928,52325.0,Lieserl,latency,latency,,,,
64,Tunnel_FB_2025_05_30_JAS_JH_Madlain_10-30-54,823.7666666666667,49426,853.7666666666667,51226.0,Madlain,man_check_duration,man_check_duration,,,,
65,Tunnel_FB_2025_05_30_JAS_JH_Madlain_10-30-54,824.5166666666667,49471,848.5666666666667,50914.0,Madlain,latency,latency,,,,
66,Tunnel_FB_2025_07_03_FL_JAS_Ramses_16-57-29,766.7,46002,796.7,47802.0,Ramses,man_check_duration,man_check_duration,,,,
67,Tunnel_FB_2025_07_03_FL_JAS_Ramses_16-57-29,767.25,46035,796.7,47802.0,Ramses,latency,latency,,,,
68,Tunnel_FB_2025_06_24_JAS_JH_Filou11_16-24-30,845.4166666666666,50725,875.4166666666666,52525.0,Filou11,man_check_duration,man_check_duration,,,,
69,Tunnel_FB_2025_06_24_JAS_JH_Filou11_16-24-30,846.15,50769,850.4333333333333,51026.0,Filou11,latency,latency,,,,
70,Tunnel_FB_2025_05_30_JAS_JH_Calea_11-39-39,764.7491895190244,45885,794.7491577250665,47685.0,Calea,man_check_duration,man_check_duration,,,,
71,Tunnel_FB_2025_05_30_JAS_JH_Calea_11-39-39,765.5325220221821,45932,767.0825203794943,46025.0,Calea,latency,latency,,,,
72,Tunnel_FB_2025_06_05_JH_JAS_Alma_11-04-27,764.9491825175792,45897,794.9491504573496,47697.0,Alma,man_check_duration,man_check_duration,,,,
73,Tunnel_FB_2025_06_05_JH_JAS_Alma_11-04-27,765.6658484183625,45940,782.0491642432484,46923.0,Alma,latency,latency,,,,
74,Tunnel_FB_2025_05_30_JH_JAS_Toffee6_Part2_13-57-00,979.2333333333333,58754,1009.2333333333333,60554.0,Toffee6,man_check_duration,man_check_duration,,,,
75,Tunnel_FB_2025_05_30_JH_JAS_Toffee6_Part2_13-57-00,979.7833333333333,58787,1009.2333333333333,60554.0,Toffee6,latency,latency,,,,
76,Tunnel_FB_2025_06_19_JAS_JH_Ivy6_10-37-07,694.5833333333334,41675,724.5833333333334,43475.0,Ivy6,man_check_duration,man_check_duration,,,,
77,Tunnel_FB_2025_06_19_JAS_JH_Ivy6_10-37-07,695.3,41718,724.5833333333334,43475.0,Ivy6,latency,latency,,,,
78,Tunnel_FB_2025_06_06_JH_FL_Flynn4_11-01-06,786.432790380013,47186,816.4327696680226,48986.0,Flynn4,man_check_duration,man_check_duration,,,,
79,Tunnel_FB_2025_06_06_JH_FL_Flynn4_11-01-06,786.4827903454931,47189,816.4327696680226,48986.0,Flynn4,latency,latency,,,,
80,Tunnel_FB_2025_06_12_JAS_FL_Pasha_14-17-26,1122.6833333333334,67361,1152.6833333333334,69161.0,Pasha,man_check_duration,man_check_duration,,,,
