,Scoring,Start,Start_Frame,Stop,Stop_Frame,Subject,Behaviour,Value,Partner,Initiation,Termination,Modifiers
34,Tunnel_FB_2025_05_22_JAS_FL_Nuala2_13-00-21,782.3333333333334,46940,819.6,49176.0,Nuala2,man_check_duration,man_check_duration,,,,
35,Tunnel_FB_2025_05_22_JAS_FL_Nuala2_13-00-21,784.5166666666667,47071,811.4833333333333,48689.0,Nuala2,latency,latency,,,,
36,Tunnel_FB_2025_05_25_FL_JAS_Samba2_11-07-29,806.9327747403038,48416,839.3327523116676,50360.0,Samba2,man_check_duration,man_check_duration,,,,
37,Tunnel_FB_2025_05_25_FL_JAS_Samba2_11-07-29,807.8494407724154,48471,817.4661007820229,49048.0,Samba2,latency,latency,,,,
38,Tunnel_FB_2025_06_02_JAS_FL_Aaron2_13-06-44,934.5166666666667,56071,963.9666666666667,57838.0,Aaron2,man_check_duration,man_check_duration,,,,
39,Tunnel_FB_2025_06_02_JAS_FL_Aaron2_13-06-44,934.8,56088,963.85,57831.0,Aaron2,latency,latency,,,,
40,Tunnel_FB_2025_05_26_FL_JAS_Pixi_10-55-51,790.65,47439,826.35,49581.0,Pixi,man_check_duration,man_check_duration,,,,
41,Tunnel_FB_2025_05_26_FL_JAS_Pixi_10-55-51,791.3166666666667,47479,799.2333333333333,47954.0,Pixi,latency,latency,,,,
42,Tunnel_FB_2025_05_26_JAS_FL_Bruno2_12-01-56,832.6,49956,862.5833333333334,51755.0,Bruno2,man_check_duration,man_check_duration,,,,
43,Tunnel_FB_2025_05_26_JAS_FL_Bruno2_12-01-56,832.6666666666666,49960,861.95,51717.0,Bruno2,latency,latency,,,,
44,Tunnel_FB_2025_06_16_FL_JAS_Riu_17-36-22,748.0327778130345,44882,778.4827551996129,46709.0,Riu,man_check_duration,man_check_duration,,,,
45,Tunnel_FB_2025_06_16_FL_JAS_Riu_17-36-22,748.5161107874246,44911,761.2494346644613,45675.0,Riu,latency,latency,,,,
46,Tunnel_FB_2025_05_27_JAS_FL_Hago_12-32-08,925.0827729855,55505,955.5994211674017,57336.0,Hago,man_check_duration,man_check_duration,,,,
47,Tunnel_FB_2025_05_27_JAS_FL_Hago_12-32-08,926.0161057534883,55561,943.5494284664105,56613.0,Hago,latency,latency,,,,
48,Tunnel_FB_2025_06_03_FL_JAS_Lucy14_11-01-44,843.716378822026,50623,873.6163686212617,52417.0,Lucy14,man_check_duration,man_check_duration,,,,
49,Tunnel_FB_2025_06_03_FL_JAS_Lucy14_11-01-44,844.7497118028244,50685,849.7330434360305,50984.0,Lucy14,latency,latency,,,,
50,Tunnel_FB_2025_05_28_JAS_JH_Paige_12-46-29,883.4997155440833,53010,915.2163719990991,54913.0,Paige,man_check_duration,man_check_duration,,,,
51,Tunnel_FB_2025_05_28_JAS_JH_Paige_12-46-29,888.9997137732768,53340,915.0497053860933,54903.0,Paige,latency,latency,,,,
52,Tunnel_FB_2025_05_28_JAS_JH_Amber3_13-26-43,1235.5166666666667,74131,1265.4,75924.0,Amber3,man_check_duration,man_check_duration,,,,
